Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,
456,200,200,35,19,
457,38,200,20,15,
458,86,200,22,10,
459,16,200,20,87,
460,27,200,91,120,
461,41,200,102,180,
462,24,200,200,69,
463,54,200,24,147,
464,25,88,135,52,
465,25,29,23,11,
466,121,46,19,52,
467,28,14,26,29,
468,28,31,24,85,
469,42,103,25,146,
470,28,52,52,200,
471,28,37,44,200,
472,47,70,200,104,
473,39,119,200,200,
474,31,138,24,66,
475,31,200,39,15,
476,29,77,19,21,
477,76,51,200,200,
478,21,40,200,131,
479,32,35,78,31,
480,40,67,44,25,
481,32,27,21,84,
482,22,200,58,15,
483,38,200,200,22,
484,29,22,94,127,
485,22,168,48,200,
486,27,68,25,200,
487,27,23,200,185,
488,56,31,200,168,
489,24,200,200,45,
490,18,200,200,40,
491,72,200,200,18,
492,21,75,118,200,
493,97,52,200,71,
494,30,119,200,127,
495,26,76,200,200,
496,30,122,200,200,
497,32,19,142,43,
498,20,56,40,200,
499,200,36,200,19,
500,43,200,200,12,
501,11,152,200,10,
502,75,200,99,200,
503,76,200,200,30,
504,8,24,200,25,
505,14,200,200,13,
506,60,200,200,95,
507,35,200,200,119,
508,65,200,200,48,
509,114,200,200,19,
510,200,200,200,28,
511,68,200,200,195,
512,166,31,200,122,
513,200,200,200,60,
514,81,200,200,200,
515,52,59,200,58,
516,88,200,200,47,
517,52,200,200,200,
518,149,200,200,200,
519,32,200,200,43,
520,20,200,200,19,
521,200,200,141,27,
522,200,200,200,59,
523,200,127,200,66,
524,200,141,200,56,
525,200,175,200,22,
526,200,18,200,12,
527,200,200,200,30,
528,200,152,200,19,
529,200,200,200,40,
530,84,200,200,70,
531,183,108,200,142,
532,58,200,200,67,
533,46,200,200,32,
534,91,200,188,25,
535,200,200,78,34,
536,27,200,60,32,
537,82,200,42,30,
538,20,200,200,31,
539,200,200,62,85,
540,200,200,79,15,
541,29,200,136,20,
542,143,113,43,16,
543,75,200,31,60,
544,22,11,30,35,
545,37,86,48,78,
546,10,26,88,186,
547,200,24,14,13,
548,61,200,18,124,
549,23,200,17,100,
550,176,200,20,200,
551,200,200,34,76,
552,200,200,64,43,
553,200,200,200,200,
554,200,200,200,200,
555,200,200,200,200,
556,200,200,200,200,
557,200,137,200,200,
558,200,79,200,200,
559,105,200,200,36,
560,200,147,200,95,
561,200,93,200,200,
562,200,93,133,200,
563,200,67,200,200,
564,200,32,28,200,
565,200,116,13,200,
566,200,25,200,200,
567,200,35,200,200,
568,200,39,200,200,
569,52,27,200,200,
570,200,66,200,200,
571,200,21,200,200,
572,200,18,82,200,
573,200,12,200,135,
574,200,185,200,138,
575,200,200,200,131,
576,200,200,200,200,
577,152,200,200,170,
578,121,200,27,200,
579,33,107,26,95,
580,84,119,26,63,
581,66,32,149,200,
582,36,25,51,200,
583,10,18,200,14,
584,71,200,132,126,
585,30,200,43,64,
586,10,200,200,42,
587,50,200,200,63,
588,29,200,200,30,
589,148,200,200,14,
590,200,200,63,13,
591,25,200,100,200,
592,22,200,30,59,
593,19,200,171,73,
594,41,186,110,200,
595,53,200,79,200,
596,94,200,138,38,
597,72,40,43,114,
598,38,148,37,85,
599,47,47,72,23,
600,92,200,18,59,
601,119,69,17,200,
602,83,46,200,91,
603,200,73,117,200,
604,200,40,200,200,
605,200,200,39,200,
606,200,200,64,93,
607,200,63,200,53,
608,200,181,24,69,
609,200,18,112,20,
610,200,71,200,52,
611,200,35,200,35,
612,200,62,200,76,
613,200,85,200,200,
614,200,25,200,55,
615,200,186,200,200,
616,200,21,200,200,
617,73,200,200,200,
618,200,200,200,200,
619,171,107,30,200,
620,200,62,54,200,
621,200,31,200,200,
622,200,14,200,200,
623,200,200,200,200,
624,200,200,200,105,
625,200,29,200,89,
626,200,149,25,200,
627,200,200,200,84,
628,200,17,200,31,
629,200,103,200,200,
630,62,63,200,200,
631,200,200,145,45,
632,200,194,29,200,
633,200,16,200,36,
634,200,200,65,200,
635,84,73,37,145,
636,200,88,47,200,
637,200,200,14,114,
638,200,40,25,130,
639,182,153,16,200,
640,200,40,129,200,
641,197,24,11,200,
642,14,37,74,200,
643,13,113,200,200,
644,45,96,200,200,
645,200,33,167,200,
646,155,200,25,111,
647,19,61,200,200,
648,26,200,200,200,
649,164,165,200,200,
650,10,200,200,86,
651,174,45,200,200,
652,133,25,200,200,
653,63,26,70,200,
654,29,66,27,42,
655,200,48,200,10,
656,28,104,70,108,
657,200,66,200,188,
658,200,18,200,40,
659,32,200,200,12,
660,25,10,200,149,
661,30,79,200,92,
662,30,70,200,200,
663,13,200,148,178,
664,50,21,200,28,
665,39,167,200,34,
666,200,200,74,42,
667,27,157,58,42,
668,60,50,50,20,
669,200,200,42,87,
670,200,38,82,200,
671,200,47,22,95,
672,52,81,15,200,
673,139,41,15,200,
674,20,200,200,45,
675,12,200,200,66,
676,41,65,87,113,
677,200,25,27,189,
678,200,75,200,68,
679,30,127,20,141,
680,22,139,28,187,
681,29,138,171,105,
682,44,45,200,200,
683,200,84,95,200,
684,18,70,151,200,
685,200,200,64,200,
686,200,28,34,200,
687,200,104,200,200,
688,37,200,34,200,
689,61,117,200,200,
690,109,17,200,86,
691,137,26,106,115,
692,34,100,190,200,
693,53,188,17,200,
694,14,200,200,200,
695,10,200,200,200,
696,13,75,34,200,
697,53,200,12,200,
698,119,117,100,200,
699,47,82,200,200,
700,33,54,106,200,
701,200,38,136,200,
702,200,200,200,200,
703,200,118,200,200,
704,194,65,200,200,
705,21,200,200,200,
706,200,200,200,200,
707,19,200,80,200,
708,24,33,40,200,
709,12,9,200,200,
710,17,185,70,200,
711,61,200,200,200,
712,200,196,111,200,
713,82,200,60,200,
714,200,26,200,200,
715,20,200,16,29,
716,109,137,13,154,
717,91,43,200,77,
718,72,133,21,22,
719,16,109,127,14,
720,11,30,34,13,
721,88,77,79,36,
722,147,60,109,27,
723,60,39,28,40,
724,21,21,74,165,
725,30,12,45,200,
726,27,15,153,200,
727,200,32,42,200,
728,59,14,37,200,
729,129,13,20,200,
730,110,11,48,200,
731,11,13,53,200,
732,200,42,56,200,
733,200,120,105,200,
734,200,200,26,200,
735,200,200,16,200,
736,200,200,70,200,
737,200,200,76,65,
738,200,200,99,50,
739,200,200,10,48,
740,200,200,22,155,
741,200,200,14,87,
742,200,200,33,28,
743,200,200,122,87,
744,200,157,60,200,
745,200,200,91,200,
746,200,200,185,200,
747,135,200,104,200,
748,190,200,188,200,
749,200,77,61,200,
750,200,13,200,200,
751,200,36,45,200,
752,103,200,90,200,
753,200,32,157,200,
754,200,81,75,48,
755,200,23,11,10,
756,135,200,200,200,
757,19,25,31,200,
758,17,75,154,63,
759,19,200,200,200,
760,20,84,200,48,
761,28,129,200,200,
762,151,26,200,166,
763,200,65,192,15,
764,200,200,200,71,
765,200,25,200,38,
766,200,169,200,50,
767,200,200,200,13,
768,200,200,200,200,
769,20,200,200,200,
770,200,60,81,200,
771,192,15,200,200,
772,29,200,200,200,
773,200,200,200,200,
774,51,55,200,200,
775,23,34,200,200,
776,200,162,200,200,
777,91,33,200,200,
778,38,85,200,200,
779,200,48,200,200,
780,40,200,200,200,
781,29,200,200,200,
782,23,200,200,200,
783,43,200,200,200,
784,27,24,200,200,
785,22,10,200,200,
786,29,200,200,200,
787,71,156,200,200,
788,88,200,200,200,
789,173,40,200,200,
790,21,11,200,200,
791,200,105,200,200,
792,156,200,155,200,
793,140,200,200,200,
794,56,63,33,200,
795,200,29,27,200,
796,200,33,200,200,
797,200,200,42,200,
798,186,200,23,200,
799,200,43,28,200,
800,200,200,29,200,
801,59,200,200,200,
802,200,200,48,200,
803,200,47,59,200,
804,200,19,12,200,
805,170,18,20,200,
806,200,34,74,200,
807,200,115,66,200,
808,200,38,26,200,
809,200,172,19,200,
810,200,27,15,200,
811,200,103,11,200,
812,200,93,200,200,
813,22,12,200,200,
814,17,112,140,200,
815,14,69,200,181,
816,200,28,54,200,
817,85,200,30,200,
818,29,200,47,200,
819,200,200,22,200,
820,200,200,32,200,
821,200,200,27,200,
822,200,155,24,200,
823,200,200,99,200,
824,200,200,45,200,
